dia_semana,hora,LINEA,ID,TOTAL
lunes,12,LINEA_B,24,3318
lunes,12,LINEA_B,25,3312
lunes,12,LINEA_B,26,2828
lunes,12,LINEA_B,27,3244
lunes,12,LINEA_B,28,2934
lunes,12,LINEA_B,29,3930
lunes,12,LINEA_B,30,1967
lunes,12,LINEA_B,66,6192
lunes,12,LINEA_B,72,4021
lunes,12,LINEA_B,73,1102
lunes,12,LINEA_B,74,2019
lunes,12,LINEA_B,80,1141
lunes,12,LINEA_B,81,4385
lunes,12,LINEA_C,13,7799
lunes,12,LINEA_C,14,1481
lunes,12,LINEA_C,15,1091
lunes,12,LINEA_C,16,1203
lunes,12,LINEA_C,17,1558
lunes,12,LINEA_C,18,1233
lunes,12,LINEA_C,19,15209
lunes,12,LINEA_C,57,1560
lunes,12,LINEA_C,58,1051
lunes,12,LINEA_D,6,2206
lunes,12,LINEA_D,7,4076
lunes,12,LINEA_D,8,3738
lunes,12,LINEA_D,9,2132
lunes,12,LINEA_D,10,2374
lunes,12,LINEA_D,11,2339
lunes,12,LINEA_D,12,3293
lunes,12,LINEA_D,54,3098
lunes,12,LINEA_D,55,2055
